System_BioGearsCardiovascularSystemData_HeartRate,System_BioGearsCardiovascularSystemData_SystolicArterialPressure,System_BioGearsCardiovascularSystemData_DiastolicArterialPressure,System_BioGearsCardiovascularSystemData_CardiacOutput,System_BioGearsCardiovascularSystemData_SystemicVascularResistance,System_BioGearsCardiovascularSystemData_BloodVolume,System_BioGearsBloodChemistrySystemData_InflammatoryResponse/BG:TissueIntegrity,System_BioGearsBloodChemistrySystemData_ArterialBloodPH,System_BioGearsRespiratorySystemData_RespirationRate,System_BioGearsRespiratorySystemData_TidalVolume,System_BioGearsRenalSystemData_MeanUrineOutput,System_BioGearsRenalSystemData_UrineProductionRate,System_BioGearsEnergySystemData_SkinTemperature,mins,tbsa,ringers,albumin,tbsa_mins
70.40977843,116.7747583,73.49763048,6192.281828,0.892235079,5736.490898,0.434250681,7.501276474,28.03738318,0.574596295,2104.67657,0.035678535,35.90863966,165,20,112,0,20_165
70.3954501,116.8177389,73.60763828,6173.854456,0.89593348,5722.258913,0.435757036,7.500854016,28.03738318,0.57452207,2104.100515,0.011574808,35.90636101,180,20,112,0,20_180
70.47877384,116.711927,73.590792,6161.94189,0.897217709,5703.802067,0.437673745,7.502178652,27.77777778,0.568852411,2102.808596,0.034174872,35.90503595,195,20,84,0,20_195
70.54454306,116.6678733,73.61697516,6151.633761,0.898773525,5688.541393,0.439862843,7.50295555,27.77777778,0.568557273,2092.899595,0.010766706,35.90398259,210,20,84,0,20_210
70.58984282,116.62765,73.63287252,6142.732777,0.900081406,5675.707279,0.442235255,7.503847837,27.77777778,0.568299668,2097.730766,0.032661586,35.90315294,225,20,84,0,20_225
70.60260242,116.6431373,73.70432762,6130.15049,0.902514177,5664.727905,0.444733351,7.504112278,27.77777778,0.56833736,2090.793704,0.010089174,35.90261161,240,20,84,0,20_240
70.67476713,116.5908047,73.71189041,6122.794833,0.903519867,5650.395807,0.4473198,7.50345518,27.52293578,0.56303566,2091.943738,0.031238967,35.90217093,255,20,63,0,20_255
70.73109039,116.5441711,73.73064001,6113.679544,0.904841372,5638.089734,0.449970397,7.503973282,27.52293578,0.563054175,2077.62239,0.009336273,35.90171095,270,20,63,0,20_270
70.79932097,116.4988191,73.74218793,6107.424775,0.90567485,5627.298547,0.452669438,7.504617285,27.77777778,0.562777267,2084.978867,0.029797815,35.90123969,285,20,63,0,20_285
70.8908989,116.3963998,73.67831806,6108.268183,0.904729956,5617.644728,0.455406733,7.50604034,27.52293578,0.562940487,2065.136626,0.00879378,35.90074425,300,20,63,0,20_300
